line_id,doc_ids,truth_kind,txn_date,amount_paise,narration
BL-000001,AP-SALARY-202603-0,matchable,2026-03-02,-345000000,NEFT DR HDFC0001234 900000079141 FROM ACME INDUSTRIES PAYROLL milestone 2 INR 3450000.00
BL-000002,AP-EMI-202603-0,matchable,2026-03-02,-125000000,EMI-202603 NEFT DR ICIC0000429 900000079229 FROM STATE BANK EQUIP material supply INR 1250
BL-000003,AP-RENT-202603-0,matchable,2026-03-05,-78000000,NEFT DR KKBK0000812 900000079200 FROM SKYLINE ESTATES PVT LTD  invoice settlement INR 7800
BL-000004,SETL-setl_00000001,gateway_settlement,2026-03-11,12503272,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000001 UTR 900000000056
BL-000005,SETL-setl_00000002,gateway_settlement,2026-03-12,10433656,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000002 UTR 900000000087
BL-000006,SETL-setl_00000003,gateway_settlement,2026-03-13,13784416,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000003 UTR 900000000173
BL-000007,SETL-setl_00000004,gateway_settlement,2026-03-14,14243060,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000004 UTR 900000000187
BL-000008,SETL-setl_00000006,gateway_settlement,2026-03-16,5136820,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000006 UTR 900000000355
BL-000009,SETL-setl_00000005,gateway_settlement,2026-03-16,14332157,RAZORPAY PAYMENTS GATEWAY SETTLEMENT setl_00000005 UTR 900000000266
BL-000010,AR-INV-2026-000007,matchable,2026-03-16,55910600,UPI/HDFC0001234/672423997539/INV-2026-000007/merilab@ybl/MERIDIAN LAB SUPPLIES NAG
BL-000011,AR-INV-2026-000088,matchable,2026-03-17,14836600,NEFT CR ICIC0000429 900000012510 FROM GOLDCREST WAAEHOUSING COMPANY part payment INR 14836
BL-000012,AR-INV-2026-000003,matchable,2026-03-17,24034900,NEFT CR HDFC0001234 900000008871 FROM ORBITEX PAPER MILLS NOI security deposit INR 240349.
